metric,file,name,value,line
cyclomatic,examples/3_optimisers/05_OWA_Risk_Measures.jl,"<anonymous>",3,41
cyclomatic,examples/3_optimisers/05_OWA_Risk_Measures.jl,"<anonymous>",1,208
cyclomatic,examples/3_optimisers/06_Brownian_Distance_Variance_and_VarianceSkewKurtosis.jl,"<anonymous>",3,37
cyclomatic,examples/3_optimisers/07_Drawdown_Risk_Measures.jl,"<anonymous>",3,28
cyclomatic,examples/3_optimisers/07_Drawdown_Risk_Measures.jl,"<anonymous>",1,72
cyclomatic,examples/3_optimisers/08_Exotic_Tail_Risk_Measures.jl,"<anonymous>",3,45
cyclomatic,examples/3_optimisers/09_Risk_Budgeting.jl,"<anonymous>",3,23
cyclomatic,examples/3_optimisers/10_Risk_Contribution.jl,"<anonymous>",3,22
cyclomatic,examples/3_optimisers/11_Clustering_Optimisers.jl,"<anonymous>",2,34
cyclomatic,examples/3_optimisers/11_Clustering_Optimisers.jl,"<anonymous>",3,41
cyclomatic,examples/3_optimisers/12_Clustering_Mixed_Risks_And_Constraints.jl,"<anonymous>",3,24
cyclomatic,examples/3_optimisers/13_Meta_Optimisers.jl,"<anonymous>",3,33
cyclomatic,examples/3_optimisers/14_Subset_Resampling_and_Cross_Validation.jl,"<anonymous>",3,26
cyclomatic,examples/3_optimisers/14_Subset_Resampling_and_Cross_Validation.jl,"<anonymous>",1,219
cyclomatic,examples/3_optimisers/15_Near_Optimal_Centering.jl,"<anonymous>",3,28
cyclomatic,examples/3_optimisers/15_Near_Optimal_Centering.jl,"summarise",1,118
cyclomatic,examples/3_optimisers/16_Feature_Distance_Clustering.jl,"<anonymous>",3,32
cyclomatic,examples/3_optimisers/16_Feature_Distance_Clustering.jl,"<anonymous>",2,265
cyclomatic,examples/3_optimisers/16_Feature_Distance_Clustering.jl,"<anonymous>",2,285
cyclomatic,examples/3_optimisers/16_Feature_Distance_Clustering.jl,"<anonymous>",2,312
cyclomatic,examples/3_optimisers/16_Feature_Distance_Clustering.jl,"graph_features",1,357
cyclomatic,examples/3_optimisers/16_Feature_Distance_Clustering.jl,"<anonymous>",2,378
cyclomatic,examples/3_optimisers/16_Feature_Distance_Clustering.jl,"<anonymous>",2,654
cyclomatic,examples/3_optimisers/16_Feature_Distance_Clustering.jl,"window_row",1,784
cyclomatic,examples/3_optimisers/16_Feature_Distance_Clustering.jl,"<anonymous>",2,798
cyclomatic,examples/3_optimisers/16_Feature_Distance_Clustering.jl,"backtest_row",1,885
cyclomatic,examples/3_optimisers/16_Feature_Distance_Clustering.jl,"<anonymous>",2,900
cyclomatic,examples/4_constraints_costs/01_Budget_Constraints.jl,"<anonymous>",2,11
cyclomatic,examples/4_constraints_costs/01_Budget_Constraints.jl,"<anonymous>",3,18
cyclomatic,examples/4_constraints_costs/01_Budget_Constraints.jl,"<anonymous>",3,25
cyclomatic,examples/4_constraints_costs/01_Budget_Constraints.jl,"<anonymous>",1,106
cyclomatic,examples/4_constraints_costs/01_Budget_Constraints.jl,"<anonymous>",1,146
cyclomatic,examples/4_constraints_costs/01_Budget_Constraints.jl,"<anonymous>",1,182
cyclomatic,examples/4_constraints_costs/01_Budget_Constraints.jl,"<anonymous>",1,212
cyclomatic,examples/4_constraints_costs/01_Budget_Constraints.jl,"<anonymous>",1,248
cyclomatic,examples/4_constraints_costs/01_Budget_Constraints.jl,"<anonymous>",1,295
cyclomatic,examples/4_constraints_costs/01_Budget_Constraints.jl,"<anonymous>",1,315
cyclomatic,examples/4_constraints_costs/02_Linear_Group_Constraints.jl,"<anonymous>",3,26
cyclomatic,examples/4_constraints_costs/02_Linear_Group_Constraints.jl,"sector_weight",1,73
cyclomatic,examples/4_constraints_costs/03_Cardinality_and_Threshold.jl,"<anonymous>",3,26
cyclomatic,examples/4_constraints_costs/04_Phylogeny_Centrality.jl,"<anonymous>",3,36
cyclomatic,examples/4_constraints_costs/04_Phylogeny_Centrality.jl,"related_pairs",1,88
cyclomatic,examples/4_constraints_costs/04_Phylogeny_Centrality.jl,"<anonymous>",2,101
cyclomatic,examples/4_constraints_costs/04_Phylogeny_Centrality.jl,"fold_sep",1,191
cyclomatic,examples/4_constraints_costs/04_Phylogeny_Centrality.jl,"resolved_dmax",1,195
cyclomatic,examples/4_constraints_costs/04_Phylogeny_Centrality.jl,"<anonymous>",2,232
cyclomatic,examples/4_constraints_costs/04_Phylogeny_Centrality.jl,"<anonymous>",2,309
cyclomatic,examples/4_constraints_costs/04_Phylogeny_Centrality.jl,"avg_centrality",1,354
cyclomatic,examples/4_constraints_costs/04_Phylogeny_Centrality.jl,"polarity_name",2,394
cyclomatic,examples/4_constraints_costs/04_Phylogeny_Centrality.jl,"sep_moves",1,398
cyclomatic,examples/4_constraints_costs/04_Phylogeny_Centrality.jl,"ov_moves",3,456
cyclomatic,examples/4_constraints_costs/05_Turnover_and_Tracking.jl,"<anonymous>",3,27
cyclomatic,examples/4_constraints_costs/05_Turnover_and_Tracking.jl,"drift",1,73
cyclomatic,examples/4_constraints_costs/06_Fees_and_Net_Returns.jl,"<anonymous>",3,24
cyclomatic,examples/4_constraints_costs/06_Fees_and_Net_Returns.jl,"healthcare_weight",1,99
cyclomatic,examples/4_constraints_costs/07_Regularisation.jl,"<anonymous>",2,8
cyclomatic,examples/4_constraints_costs/07_Regularisation.jl,"<anonymous>",3,15
cyclomatic,examples/4_constraints_costs/07_Regularisation.jl,"<anonymous>",3,22
cyclomatic,examples/4_constraints_costs/07_Regularisation.jl,"<anonymous>",2,29
cyclomatic,examples/4_constraints_costs/08_Nested_Clustered_Constraints.jl,"<anonymous>",3,20
cyclomatic,examples/4_constraints_costs/08_Nested_Clustered_Constraints.jl,"inner_local_max",1,110
cyclomatic,examples/4_constraints_costs/08_Nested_Clustered_Constraints.jl,"outer_cluster_max",1,111
cyclomatic,examples/4_constraints_costs/09_Custom_Objectives_and_Constraints.jl,"<anonymous>",3,33
cyclomatic,examples/4_constraints_costs/09_Custom_Objectives_and_Constraints.jl,"PortfolioOptimisers.add_custom_objective_term!",1,121
cyclomatic,examples/4_constraints_costs/09_Custom_Objectives_and_Constraints.jl,"PortfolioOptimisers.add_custom_constraint!",1,206
cyclomatic,examples/4_constraints_costs/09_Custom_Objectives_and_Constraints.jl,"PortfolioOptimisers.add_custom_constraint!",1,244
cyclomatic,examples/4_constraints_costs/09_Custom_Objectives_and_Constraints.jl,"PortfolioOptimisers.add_custom_constraint!",1,290
cyclomatic,examples/4_constraints_costs/10_Factor_Exposure_Constraints.jl,"<anonymous>",3,34
cyclomatic,examples/4_constraints_costs/10_Factor_Exposure_Constraints.jl,"exposures",1,104
cyclomatic,examples/5_validation_tuning/01_Cross_Validation.jl,"<anonymous>",2,12
cyclomatic,examples/5_validation_tuning/01_Cross_Validation.jl,"<anonymous>",3,19
cyclomatic,examples/5_validation_tuning/01_Cross_Validation.jl,"ldm",3,324
cyclomatic,examples/5_validation_tuning/02_Hyperparameter_Tuning.jl,"<anonymous>",2,8
cyclomatic,examples/5_validation_tuning/02_Hyperparameter_Tuning.jl,"<anonymous>",3,15
cyclomatic,examples/5_validation_tuning/03_Pipelines.jl,"<anonymous>",2,28
cyclomatic,examples/5_validation_tuning/03_Pipelines.jl,"<anonymous>",3,35
cyclomatic,examples/5_validation_tuning/04_Time_Dependent_Constraints.jl,"<anonymous>",3,21
cyclomatic,examples/5_validation_tuning/04_Time_Dependent_Constraints.jl,"max_weights",1,51
cyclomatic,examples/5_validation_tuning/04_Time_Dependent_Constraints.jl,"deleverage",1,69
cyclomatic,examples/5_validation_tuning/04_Time_Dependent_Constraints.jl,"<anonymous>",1,81
cyclomatic,examples/5_validation_tuning/04_Time_Dependent_Constraints.jl,"vol_cap",1,88
cyclomatic,examples/5_validation_tuning/04_Time_Dependent_Constraints.jl,"c",1,104
cyclomatic,examples/5_validation_tuning/04_Time_Dependent_Constraints.jl,"<anonymous>",2,180
cyclomatic,examples/5_validation_tuning/04_Time_Dependent_Constraints.jl,"l1turnover",1,189
cyclomatic,examples/5_validation_tuning/04_Time_Dependent_Constraints.jl,"<anonymous>",1,256
cyclomatic,examples/5_validation_tuning/04_Time_Dependent_Constraints.jl,"gentler",1,336
cyclomatic,examples/5_validation_tuning/05_Train_Test_Split.jl,"<anonymous>",3,28
cyclomatic,examples/5_validation_tuning/06_Time_Dependent_Optimisers.jl,"<anonymous>",3,27
